사번,이름,채용경로,성별,나이,근속기간,출신대학,대학구분,학점,학력,입사년도,직군,팀구분,퇴직구분,매니저여부,잔업시간,성과점수,미사용.휴가일수,연봉,사업장위치,본인.인지능력,본인.인내력,본인.실행력,매니저.비전,매니저.소통,매니저.실행력,직원만족도,매출액.천원,불량건수
4006,한경택,공채,남,39,19.5,경북대학교,국립,76.22,학사,2015,제조생산,마케팅팀,No,No,213,42.4,14,66002987,일본,80,79,94,92,73,39,67.4,NA,9
3337,임경화,공채,여,33,17.9,MICHIGAN STATE UNIVERSITY,해외,88.25,석사,2012,마케팅영업,기술팀,No,No,324,49.9,9,58479133,서울(본사),74,99,82,0,10,32,35.1,163680,NA
2543,이규경,산학,남,46,27,전남대학교,국립,87.67,학사,2013,제조생산,생산팀,No,No,192,40,22,46179481,베트남,97,67,86,26,32,48,48.2,NA,17
3999,윤규만,공채,남,39,19.9,인하대학교,기타,86.67,석사,2015,마케팅영업,사업팀,No,No,20,51.8,14,61002987,중국,78,94,87,34,54,37,55,88466,NA
1365,주강필,공채,남,32,13.9,서울대학교,top5,80.7,학사,2011,경영지원,인력팀,Yes,No,201,32.6,22,83001494,일본,99,87,89,81,11,42,46.4,NA,NA
1291,최규백,공채,남,36,18.4,홍익대학교,기타,73.56,고졸,2010,연구개발,기술팀,Yes,No,283,71.3,10,96316633,대전(연구소),73,79,93,26,17,14,40.3,NA,NA
5531,정경선,인턴,여,28,13.7,INDIANA UNIVERSITY-PURDUE UNIVERSITY FORT WAYNE,수도권,97.11,석사,2015,경영지원,생산팀,No,No,1,33.5,16,57572709,대전(연구소),77,71,84,36,17,4,42.4,NA,NA
2767,조고운,산학,여,45,30.4,경북대학교,국립,68.22,박사,2014,제조생산,기술팀,No,No,152,64.3,9,58987050,대전(연구소),92,100,77,11,12,11,39.4,NA,10
2815,정경규,인턴,남,41,24.3,고려대학교,top5,86,석사,2016,제조생산,생산팀,No,No,241,38.2,13,50860557,서울(본사),86,92,91,29,21,14,44.4,NA,12
2884,윤가선,공채,여,44,29.2,서울대학교,top5,80.23,학사,2014,제조생산,마케팅팀,No,No,153,41.3,4,32558265,베트남,88,97,80,93,74,47,67.1,NA,10
4010,전경도,산학,남,46,23.4,아주대학교,기타,67.56,학사,2015,제조생산,사업팀,No,No,194,31.3,12,61004481,중국,82,74,62,44,35,19,51.5,NA,19
1196,주경택,공채,남,29,17.8,인천대학교,기타,75.56,학사,2016,마케팅영업,생산팀,No,Yes,54,40.9,16,76002987,서울(본사),85,87,90,12,18,9,40.2,63905,NA
4785,조규로,공채,남,26,11.7,경북대학교,국립,89.33,석사,2016,연구개발,사업팀,No,No,158,26.3,13,69428785,중국,68,83,98,21,40,23,48.2,NA,NA
4573,조경륜,공채,남,33,14.9,인하대학교,기타,73.11,학사,2012,제조생산,신규서비스개발팀,No,No,193,38.2,8,29430278,베트남,73,89,62,50,29,100,55.8,NA,16
4937,주규화,산학,여,41,23.2,서울시립대학교,수도권,77.56,학사,2015,제조생산,생산팀,No,No,205,25.6,10,67271911,미국,83,71,70,29,31,37,46.6,NA,8
5269,임경욱,산학,남,42,25.1,광운대학교,기타,76.89,학사,2013,마케팅영업,기술팀,No,No,13,45,14,93914341,일본,88,93,85,32,6,26,41,73456,NA
4132,강강백,산학,남,41,23,서울시립대학교,수도권,88.89,전문대,2016,연구개발,생산팀,No,No,101,41.9,12,90860557,서울(본사),78,89,96,28,24,34,42.8,NA,NA
5341,장국만,공채,남,47,27.4,성균관대학교,top8,69.11,학사,2015,마케팅영업,품질보증팀,No,No,57,47.9,8,92433265,미국,100,84,93,52,57,38,46.7,41679,NA
4120,정규영,공채,남,36,13.2,경희대학교(국제캠퍼스),기타,94.89,박사,2016,마케팅영업,인력팀,No,No,48,26.9,21,98716633,일본,97,66,70,82,84,44,63.2,56078,NA
372,조귀연,공채,여,35,18.8,UNIVERSITY OF HOUSTON,해외,62.5,학사,2011,마케팅영업,마케팅팀,No,No,62,76.5,9,58374202,대전(연구소),84,87,63,70,74,52,62.9,154910,NA
1859,정가혜,공채,여,39,22,숭실대학교,기타,87.11,박사,2011,마케팅영업,생산팀,No,No,20,54,13,70464341,서울(본사),87,80,83,36,33,69,51.6,66066,NA
3064,장규광,공채,남,40,21.5,아주대학교,기타,76.89,고졸,2014,제조생산,마케팅팀,No,No,153,52.1,4,31556772,베트남,84,83,90,95,72,33,68.2,NA,19
